,occupancy,sensor_name,co2,noise,humidity,temperature
2019-11-20 07:00:00+00:00,0,ROOM 4,456.07777913411456,53.12111028035482,35.85611216227213,21.061222076416016
2019-11-20 07:15:00+00:00,0,ROOM 4,456.07777913411456,52.918888092041016,35.50522104899088,21.083777109781902
2019-11-20 07:30:00+00:00,0,ROOM 4,456.07777913411456,51.909234364827476,35.76493453979492,21.238972981770832
2019-11-20 07:45:00+00:00,0,ROOM 4,456.07777913411456,51.79999923706055,35.59599939982096,21.265000025431316
2019-11-20 08:00:00+00:00,0,ROOM 4,460.3222249348958,51.89666748046875,35.74066670735677,21.195777893066406
2019-11-20 08:15:00+00:00,0,ROOM 4,470.7272033691406,51.9486198425293,35.65171559651693,21.080084482828777
2019-11-20 08:30:00+00:00,0,ROOM 4,479.6555582682292,53.73111089070638,35.578111012776695,21.153555552164715
2019-11-20 08:45:00+00:00,0,ROOM 4,484.54444376627606,52.57999928792318,35.519222259521484,21.44099998474121
2019-11-20 09:00:00+00:00,0,ROOM 4,499.7578531901042,52.911109924316406,35.43844477335612,21.56855583190918
2019-11-20 09:15:00+00:00,0,ROOM 4,518.6222025553385,52.71295038859049,35.51215362548828,21.578502019246418
2019-11-20 09:30:00+00:00,0,ROOM 4,555.8111165364584,53.5466677347819,35.49477767944336,21.55011049906413
2019-11-20 09:45:00+00:00,0,ROOM 4,562.8555704752604,53.67888895670573,35.46933364868164,21.542999903361004
2019-11-20 10:00:00+00:00,1,ROOM 4,563.0371704101562,58.30563227335612,35.89227167765299,21.59754753112793
2019-11-20 10:15:00+00:00,1,ROOM 4,557.9888916015625,61.17222340901693,36.46833292643229,21.67644437154134
2019-11-20 10:30:00+00:00,1,ROOM 4,556.5999959309896,59.0444450378418,36.79955546061198,21.870999654134113
2019-11-20 10:45:00+00:00,0,ROOM 4,607.287353515625,53.712223052978516,35.64166768391927,21.834222157796223
2019-11-20 11:00:00+00:00,0,ROOM 4,744.0333455403646,56.34911855061849,35.5266965230306,21.86819585164388
2019-11-20 11:15:00+00:00,0,ROOM 4,835.3888956705729,57.68222173055013,35.61166636149088,21.94699986775716
2019-11-20 11:30:00+00:00,0,ROOM 4,648.54443359375,58.44110997517904,35.844000498453774,21.882999420166016
2019-11-20 11:45:00+00:00,0,ROOM 4,553.4348754882812,57.27984619140625,35.788655598958336,22.012969334920246
2019-11-20 12:00:00+00:00,0,ROOM 4,558.9111328125,55.46666590372721,36.0053342183431,21.88922182718913
2019-11-20 12:15:00+00:00,0,ROOM 4,552.95556640625,54.20555623372396,36.18133290608724,21.881556193033855
2019-11-20 12:30:00+00:00,0,ROOM 4,555.8482869466146,53.284445444742836,36.07855478922526,21.87733332316081
2019-11-20 12:45:00+00:00,0,ROOM 4,549.6111043294271,52.510459899902344,36.03621037801107,21.97143300374349
2019-11-20 13:00:00+00:00,1,ROOM 4,546.0,60.075555165608726,36.338888804117836,21.951555887858074
2019-11-20 13:15:00+00:00,1,ROOM 4,539.1333414713541,58.715555826822914,36.47655487060547,21.887332916259766
2019-11-20 13:30:00+00:00,1,ROOM 4,546.303466796875,58.88750966389974,36.402472178141274,21.902551651000977
2019-11-20 13:45:00+00:00,1,ROOM 4,612.6889038085938,59.0892333984375,36.42741012573242,21.903976440429688
2019-11-20 14:00:00+00:00,1,ROOM 4,643.6000162760416,56.505900065104164,36.38708368937174,21.935379028320312
2019-11-20 14:15:00+00:00,1,ROOM 4,640.2980753580729,59.84856287638346,36.41613642374674,21.90382957458496
2019-11-20 14:30:00+00:00,0,ROOM 4,626.3352661132812,54.8577766418457,36.202999114990234,21.902332941691082
2019-11-20 14:45:00+00:00,0,ROOM 4,626.5390625,53.4466667175293,36.11033376057943,21.952110926310223
2019-11-20 15:00:00+00:00,1,ROOM 4,623.62109375,62.86333338419596,36.60811106363932,21.84522247314453
2019-11-20 15:15:00+00:00,1,ROOM 4,593.8444417317709,65.03241348266602,36.82202021280924,21.85252062479655
2019-11-20 15:30:00+00:00,1,ROOM 4,559.022216796875,66.93777974446614,37.1511116027832,21.758000055948894
2019-11-20 15:45:00+00:00,0,ROOM 4,621.5888875325521,57.6544443766276,36.767333984375,21.746444702148438
2019-11-20 16:00:00+00:00,1,ROOM 4,686.2387084960938,54.063716888427734,36.22716395060221,21.652689615885418
2019-11-20 16:15:00+00:00,0,ROOM 4,749.5666707356771,54.26888910929362,36.04188919067383,21.687000274658203
2019-11-20 16:30:00+00:00,0,ROOM 4,740.5111083984375,55.485556284586586,36.11033376057943,21.58388900756836
2019-11-20 16:45:00+00:00,0,ROOM 4,587.6080322265625,54.63888931274414,36.1064453125,21.490222295125324
2019-11-20 17:00:00+00:00,0,ROOM 4,528.9111124674479,57.378045399983726,36.38760630289713,21.62249755859375
2019-11-20 17:15:00+00:00,0,ROOM 4,510.49998982747394,59.155555725097656,36.26688893636068,21.643333435058594
2019-11-20 17:30:00+00:00,0,ROOM 4,504.6666666666667,60.65666580200195,36.2380002339681,21.641000111897785
