,occupancy,sensor_name,co2,noise,humidity,temperature
2019-11-20 08:00:00+00:00,0,ROOM 1,480.8555501302083,50.849998474121094,35.45824686686198,21.30693181355794
2019-11-20 08:30:00+00:00,0,ROOM 1,511.2000020345052,52.91812260945638,35.545363108317055,21.455716451009113
2019-11-20 09:00:00+00:00,0,ROOM 1,540.2247721354166,53.104443868001304,35.66022237141927,21.71999994913737
2019-11-20 09:30:00+00:00,0,ROOM 1,540.9333292643229,55.1511116027832,37.1488889058431,21.723000208536785
2019-11-20 10:00:00+00:00,2,ROOM 1,679.3540242513021,50.02222188313802,36.48111089070638,21.540555318196613
2019-11-20 10:30:00+00:00,2,ROOM 1,741.8698527018229,50.43555577596029,35.96488952636719,21.811777750651043
2019-11-20 11:00:00+00:00,0,ROOM 1,577.886962890625,52.74214553833008,35.81329472859701,22.00347137451172
2019-11-20 11:30:00+00:00,0,ROOM 1,564.2333374023438,53.96888987223307,36.0238889058431,22.129666646321613
2019-11-20 12:00:00+00:00,0,ROOM 1,562.2777709960938,55.94945398966471,36.59889602661133,22.371342341105144
2019-11-20 12:30:00+00:00,0,ROOM 1,596.6888834635416,50.279998779296875,37.17377853393555,22.069000244140625
2019-11-20 13:00:00+00:00,2,ROOM 1,750.8222249348959,51.25444412231445,37.21444447835287,21.941999435424805
2019-11-20 13:30:00+00:00,0,ROOM 1,608.6845703125,51.64574686686198,37.254739125569664,22.100248336791992
2019-11-20 14:00:00+00:00,0,ROOM 1,616.9666748046875,50.78666687011719,36.95077768961588,22.10188865661621
2019-11-20 14:30:00+00:00,0,ROOM 1,616.4923299153646,56.57271957397461,38.263678232828774,22.230520884195965
2019-11-20 15:00:00+00:00,0,ROOM 1,646.7260538736979,58.14111200968424,39.45455423990885,21.8804448445638
2019-11-20 15:30:00+00:00,2,ROOM 1,787.5111083984375,51.28730010986328,38.20295524597168,21.57945442199707
2019-11-21 08:00:00+00:00,0,ROOM 1,412.93333943684894,50.11555608113607,33.862222035725914,21.560221989949543
2019-11-21 08:30:00+00:00,0,ROOM 1,423.1555582682292,50.9044443766276,34.03433354695638,21.633333206176758
2019-11-21 09:00:00+00:00,0,ROOM 1,441.5268147786458,51.066054026285805,34.01995849609375,21.69787343343099
2019-11-21 09:30:00+00:00,0,ROOM 1,462.76666259765625,51.1544443766276,34.63611094156901,21.739222208658855
2019-11-21 10:00:00+00:00,1,ROOM 1,522.4222106933594,48.476053873697914,34.80547078450521,21.758819580078125
2019-11-21 10:30:00+00:00,0,ROOM 1,578.8444417317709,59.62333297729492,37.248111724853516,22.73900032043457
2019-11-21 11:00:00+00:00,0,ROOM 1,748.8555501302084,58.83444468180338,37.934332529703774,23.02311134338379
2019-11-21 11:30:00+00:00,0,ROOM 1,1107.5900065104167,53.4977773030599,34.97844314575195,22.70111083984375
2019-11-21 12:00:00+00:00,3,ROOM 1,1131.4111328125,54.561302185058594,35.91299947102865,23.017126719156902
2019-11-21 12:30:00+00:00,0,ROOM 1,621.1149495442709,55.82137934366862,36.103692372639976,23.269681930541992
2019-11-21 13:00:00+00:00,2,ROOM 1,990.9222208658854,50.326666514078774,34.000999450683594,22.647666295369465
2019-11-21 13:30:00+00:00,0,ROOM 1,641.2666829427084,51.862298329671226,34.14143625895182,22.467517217000324
2019-11-21 14:00:00+00:00,0,ROOM 1,535.0222371419271,52.303332010904946,34.801778157552086,22.026888529459637
2019-11-21 14:30:00+00:00,0,ROOM 1,489.46666463216144,50.19777806599935,35.43211237589518,21.77744420369466
2019-11-21 15:00:00+00:00,0,ROOM 1,553.0126546223959,50.0301144917806,34.99292246500651,21.862639745076496
2019-11-21 15:30:00+00:00,0,ROOM 1,528.022216796875,49.14666620890299,34.69677861531576,21.952444076538086
2019-11-21 16:00:00+00:00,0,ROOM 1,482.1444498697917,49.526859283447266,34.513842264811196,21.997512817382812
2019-11-21 16:30:00+00:00,0,ROOM 1,478.23333740234375,51.08000055948893,34.15266672770182,21.91444460550944
2019-11-21 17:00:00+00:00,0,ROOM 1,480.8333333333333,51.022223154703774,34.07922236124674,21.91166623433431
2019-11-21 17:30:00+00:00,0,ROOM 1,486.3743387858073,48.762221018473305,34.275778452555336,21.688889185587566
2019-11-21 18:00:00+00:00,0,ROOM 1,471.2666727701823,49.10555521647135,34.027889251708984,21.763333638509113
2019-11-21 18:30:00+00:00,0,ROOM 1,451.9325663248698,48.599080403645836,34.01027170817057,21.754064559936523
2019-11-21 19:00:00+00:00,0,ROOM 1,456.04444376627606,48.942222595214844,34.65055592854818,21.33133316040039
2019-11-22 08:00:00+00:00,0,ROOM 1,434.35057576497394,51.94333267211914,38.60699971516927,21.538000106811523
2019-11-22 08:30:00+00:00,0,ROOM 1,445.78887939453125,53.89444351196289,39.69677861531576,21.637222290039062
2019-11-22 09:00:00+00:00,0,ROOM 1,508.6536356608073,55.413065592447914,40.934855143229164,21.538842519124348
2019-11-22 09:30:00+00:00,1,ROOM 1,641.8888956705729,58.8066660563151,41.742777506510414,21.65744400024414
2019-11-22 10:00:00+00:00,1,ROOM 1,680.2444458007812,53.42770131429037,42.05297342936198,21.608317693074543
2019-11-22 10:30:00+00:00,2,ROOM 1,777.8222249348959,50.71666717529297,41.20622126261393,21.725555419921875
2019-11-22 11:00:00+00:00,0,ROOM 1,596.2777913411459,52.627777099609375,41.0543327331543,21.940555572509766
2019-11-22 11:30:00+00:00,0,ROOM 1,567.8969319661459,52.85222371419271,40.136555989583336,22.00844446818034
