,occupancy,sensor_name,co2,noise,humidity,temperature
2019-11-20 07:00:00+00:00,0,ROOM 3,459.75555419921875,49.08747100830078,35.96745300292969,21.83917236328125
2019-11-20 07:15:00+00:00,0,ROOM 3,459.75555419921875,49.71635945638021,35.62508010864258,22.02488136291504
2019-11-20 07:30:00+00:00,0,ROOM 3,459.75555419921875,49.63034439086914,35.39811452229818,22.062172571818035
2019-11-20 07:45:00+00:00,0,ROOM 3,459.75555419921875,49.73888905843099,35.89133326212565,22.052222569783527
2019-11-20 08:00:00+00:00,0,ROOM 3,464.48084513346356,51.38007609049479,36.567466735839844,21.83477020263672
2019-11-20 08:15:00+00:00,0,ROOM 3,479.8682047526042,50.97111129760742,37.07322311401367,21.683332443237305
2019-11-20 08:30:00+00:00,0,ROOM 3,487.07777913411456,51.75076548258463,36.95982869466146,21.76708475748698
2019-11-20 08:45:00+00:00,0,ROOM 3,497.64137776692706,49.81980895996094,35.89438247680664,22.1138432820638
2019-11-20 09:00:00+00:00,0,ROOM 3,502.7111104329427,50.14777755737305,35.47311147054037,22.370222727457683
2019-11-20 09:15:00+00:00,0,ROOM 3,518.2643636067709,49.97444534301758,34.83300018310547,22.58555539449056
2019-11-20 09:30:00+00:00,0,ROOM 3,527.8161010742188,50.41555531819662,34.7412223815918,22.66755549112956
2019-11-20 09:45:00+00:00,0,ROOM 3,548.5444539388021,51.626590728759766,35.17782719930013,22.664536158243816
2019-11-20 10:00:00+00:00,0,ROOM 3,558.9666544596354,50.242820739746094,35.05351257324219,22.775180180867512
2019-11-20 17:30:00+00:00,0,ROOM 3,569.6000162760416,56.56908988952637,35.19045448303223,22.726560592651367
2019-11-20 17:45:00+00:00,0,ROOM 3,581.0126342773438,56.77555592854818,35.651666005452476,22.493555704752605
2019-11-20 18:00:00+00:00,0,ROOM 3,588.3914591471354,56.387776692708336,36.017555236816406,22.29200045267741
2019-11-20 18:15:00+00:00,0,ROOM 3,579.4166564941406,56.15034484863281,36.10493087768555,22.23629887898763
2019-11-20 18:30:00+00:00,0,ROOM 3,589.8222249348959,56.751111348470054,35.94611104329427,22.2467778523763
2019-11-20 18:45:00+00:00,0,ROOM 3,607.9222208658854,56.19333267211914,36.09866714477539,22.14377784729004
2019-11-20 19:00:00+00:00,0,ROOM 3,609.5850423177084,55.53218460083008,36.041552225748696,22.083812077840168
2019-11-20 19:15:00+00:00,0,ROOM 3,604.4111124674479,54.16555658976237,36.38244501749674,22.096777598063152
2019-11-20 19:30:00+00:00,0,ROOM 3,595.1111043294271,54.28111139933268,36.61155446370443,22.1368891398112
2019-11-20 19:45:00+00:00,0,ROOM 3,590.6862182617188,52.68999989827474,36.68255488077799,22.15511131286621
2019-11-20 20:00:00+00:00,0,ROOM 3,587.2444458007812,51.44908142089844,36.77616882324219,22.155283610026043
2019-11-20 20:15:00+00:00,0,ROOM 3,585.977783203125,50.1011110941569,36.82044474283854,22.10422197977702
2019-11-20 20:30:00+00:00,0,ROOM 3,579.1111246744791,49.56222279866537,36.850443522135414,22.02833366394043
2019-11-20 20:45:00+00:00,0,ROOM 3,567.76513671875,49.56337229410807,36.81718063354492,21.972620646158855
2019-11-20 21:00:00+00:00,0,ROOM 3,556.3666585286459,49.132222493489586,36.59655507405599,21.913000106811523
2019-11-20 21:15:00+00:00,0,ROOM 3,532.2777709960938,48.61444346110026,36.13655471801758,21.86833318074544
2019-11-20 21:30:00+00:00,0,ROOM 3,507.6915690104167,48.55199305216471,36.05971654256185,21.850792566935223
2019-11-20 21:45:00+00:00,0,ROOM 3,483.6666666666667,48.56831487019857,36.321919759114586,21.831612904866535
2019-11-20 22:00:00+00:00,0,ROOM 3,454.3000081380208,48.64889017740885,36.52644475301107,21.856000264485676
2019-11-20 22:15:00+00:00,0,ROOM 3,446.76361083984375,48.725555419921875,36.706888834635414,21.834889729817707
2019-11-20 22:30:00+00:00,0,ROOM 3,447.2114969889323,48.7312266031901,36.91100819905599,21.76475461324056
2019-11-20 22:45:00+00:00,0,ROOM 3,444.1555480957031,48.83777872721354,37.09411112467448,21.723777770996094
2019-11-20 23:00:00+00:00,0,ROOM 3,444.78887939453125,48.76777776082357,37.20066706339518,21.74388885498047
2019-11-20 23:15:00+00:00,0,ROOM 3,441.0735677083333,48.72114944458008,37.273302714029946,21.763100306193035
2019-11-20 23:30:00+00:00,0,ROOM 3,440.3444417317708,48.52333323160807,37.42855580647787,21.749444325764973
2019-11-20 23:45:00+00:00,0,ROOM 3,438.522216796875,48.532222747802734,37.519554138183594,21.73899968465169
2019-11-21 00:00:00+00:00,0,ROOM 3,437.2061258951823,48.555555979410805,37.6966667175293,21.634000142415363
2019-11-21 00:15:00+00:00,0,ROOM 3,436.1555582682292,48.533409118652344,37.78597768147787,21.609800338745117
2019-11-21 00:30:00+00:00,0,ROOM 3,435.8666687011719,48.37999979654948,37.91766611735026,21.586888631184895
2019-11-21 00:45:00+00:00,0,ROOM 3,434.41111246744794,48.318888346354164,37.99477767944336,21.57866605122884
2019-11-21 01:00:00+00:00,0,ROOM 3,436.78122965494794,48.27256774902344,38.13815689086914,21.534046173095703
2019-11-21 01:15:00+00:00,0,ROOM 3,431.01111857096356,48.25444412231445,38.29488881429037,21.48544438680013
2019-11-21 01:30:00+00:00,0,ROOM 3,430.55556233723956,48.604443868001304,38.356221516927086,21.47855567932129
2019-11-21 01:45:00+00:00,0,ROOM 3,428.5157063802083,48.4977773030599,38.220890045166016,21.564666748046875
