,occupancy,co2,noise,humidity,temperature
2019-11-01 07:00:00+00:00,0,444.70957438151044,52.847662607828774,36.165655771891274,21.46300760904948
2019-11-01 07:15:00+00:00,0,444.70957438151044,52.46888860066732,36.07355626424154,21.510334014892578
2019-11-01 07:30:00+00:00,0,444.70957438151044,52.065863291422524,36.100999196370445,21.560923258463543
2019-11-01 07:45:00+00:00,0,444.70957438151044,51.46888860066732,36.25011189778646,21.532333374023438
2019-11-01 08:00:00+00:00,0,446.6555582682292,52.30191548665365,36.98031743367513,21.24298858642578
2019-11-01 08:15:00+00:00,0,448.58428955078125,52.43333307902018,37.559888203938804,21.103111267089844
2019-11-01 08:30:00+00:00,0,450.8666687011719,52.07333246866862,37.94555536905924,21.059221903483074
2019-11-01 08:45:00+00:00,0,459.2114969889323,51.66172409057617,37.76059341430664,21.172156651814777
2019-11-01 09:00:00+00:00,0,468.977783203125,51.926666259765625,37.54355494181315,21.448888778686523
2019-11-01 09:15:00+00:00,0,476.96666463216144,51.557777404785156,37.80044428507487,21.515000025431316
2019-11-01 09:30:00+00:00,0,466.85516357421875,51.96111170450846,38.215555826822914,21.360777537027996
2019-11-01 09:45:00+00:00,0,470.59999593098956,51.97053654988607,38.727118174235024,21.26142183939616
2019-11-01 10:00:00+00:00,0,484.7777811686198,52.64777755737305,39.20422236124674,21.212555567423504
2019-11-01 10:15:00+00:00,0,469.90000406901044,52.094444274902344,39.63366572062174,21.18488883972168
2019-11-01 10:30:00+00:00,0,472.01417032877606,52.78808339436849,39.75196965535482,21.38236427307129
2019-11-01 10:45:00+00:00,0,479.94443766276044,52.836666107177734,39.7533327738444,21.500888188680012
2019-11-01 11:00:00+00:00,0,483.022216796875,53.22222137451172,40.10566711425781,21.402777989705402
2019-11-01 11:15:00+00:00,0,505.9659016927083,53.921339670817055,40.2376708984375,21.57142512003581
2019-11-01 11:30:00+00:00,0,512.2111104329427,55.01111094156901,40.3009999593099,21.691445032755535
2019-11-01 11:45:00+00:00,0,501.8111063639323,54.3922233581543,40.826333363850914,21.608888626098633
2019-11-01 12:00:00+00:00,0,511.66819254557294,53.36666742960612,41.31999969482422,21.63277816772461
2019-11-01 12:15:00+00:00,0,513.2111104329427,53.27934900919596,41.67805735270182,21.542727788289387
2019-11-01 12:30:00+00:00,0,503.6777750651042,52.74000040690104,42.15666707356771,21.55466651916504
